bioproject_accession	biosample_accession	library_ID	title	library_strategy	library_source	library_selection	library_layout	platform	instrument_model	design_description	filetype	filename	filename2	filename3	filename4	assembly				
PRJNA418115	SAMN08017200	06LB	16S rRNA of human gut microbiome : distal mucosa	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq		fastq	06LB_S130_L001_R1_001.fastq	06LB_S130_L001_R2_001.fastq							
PRJNA418115	SAMN08017201	06LS	16S rRNA of human gut microbiome : distal lumen	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq		fastq	06-LS_S84_L001_R1_001.fastq	06-LS_S84_L001_R2_001.fastq							
PRJNA418115	SAMN08017202	06RB	16S rRNA of human gut microbiome : proximal mucosa	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq		fastq	06-RB_S87_L001_R1_001.fastq	06-RB_S87_L001_R2_001.fastq							
PRJNA418115	SAMN08017203	06RS	16S rRNA of human gut microbiome : proximal lumen	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq		fastq	06-RS_S85_L001_R1_001.fastq	06-RS_S85_L001_R2_001.fastq							
PRJNA418115	SAMN08017204	06SS	16S rRNA of human gut microbiome : feces	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq		fastq	06-SS_S88_L001_R1_001.fastq	06-SS_S88_L001_R2_001.fastq							
PRJNA418115	SAMN08017205	09LB	16S rRNA of human gut microbiome : distal mucosa	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq		fastq	09-LB_S67_L001_R1_001.fastq	09-LB_S67_L001_R2_001.fastq							
PRJNA418115	SAMN08017206	09LS	16S rRNA of human gut microbiome : distal lumen	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq		fastq	09-LS_S65_L001_R1_001.fastq	09-LS_S65_L001_R2_001.fastq							
PRJNA418115	SAMN08017207	09RB	16S rRNA of human gut microbiome : proximal mucosa	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq		fastq	09-RB_S68_L001_R1_001.fastq	09-RB_S68_L001_R2_001.fastq							
PRJNA418115	SAMN08017208	09RS	16S rRNA of human gut microbiome : proximal lumen	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq		fastq	09-RS_S66_L001_R1_001.fastq	09-RS_S66_L001_R2_001.fastq							
PRJNA418115	SAMN08017209	09SS	16S rRNA of human gut microbiome : feces	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq		fastq	09-SS_S69_L001_R1_001.fastq	09-SS_S69_L001_R2_001.fastq							
